,title,price,area,bhk,descrp
0,3 BHK Independent Builder Floor in Uttam Nagar West,"₹ 37.9 Lac₹ 3,989/sq.ft.",950 sq.ft. (88 sq.m.) Built-up Area,3 BHK2 Baths,"A beautiful wide drawing and dinning room with false ceiling, Wide balcony, Modular kitchen, Wall elmira, Reserved parking, Bathroom with tile work up to roof height, Branded fittings and attachments, Front elevation with stainless steel railing, Texture paint in hall and rooms, Full pop work on all walls, Separate electricity meter, Water connection with appropriate meters, Ground water facili..."
1,4 BHK Independent Builder Floor in Punjabi Bagh West,"₹ 7.5 Cr₹ 15,000/sq.ft.","5,000 sq.ft. (465 sq.m.) Super built-up Area",4 BHK5 Baths,"Builder floor available on sell in punjabi bagh west, delhi west. Contact us for price details. Additional details : Piped gas facility is available. The kitchen has been built with modular fittings. Full power backup available. The house has muncipal supply. Each house has a dedicated water tank. You can easily park your car inside the compound. There is also a lift to make the living more con..."
2,4 BHK Residential Apartment in Moti Nagar,"₹ 2.67  - 3.75 Cr₹ 10,714/sq.ft.","2,494-3,500 sq.ft. (232-325 sq.m.) Super built-up Area",4 BHK,"This well-known project offers 4 BHK apartments in Moti Nagar, Delhi West. With a super built-up area, ranging from 2494.0 sq. ft. to 3500.0 sq. ft., the apartments are available at an economical price range of Rs. 2.67 Crore to Rs. 3.75 Crore. There are 23 towers. A close attention has been paid to each detail for a comfortable living. It has Car Parking, Banquet Hall, Gymnasium, Toddler Pool,..."
3,2 BHK Residential Apartment in Moti Nagar,"₹ 1.6  - 2.18 Cr₹ 15,385/sq.ft.","1,040-1,418 sq.ft. (97-132 sq.m.) Super built-up Area",2 BHK2 Baths,"Make DLF Capital Greens your next home. This project offers 2 BHK flats in Moti Nagar, Delhi West. With a super built-up area ranging from 1040.0 sq. ft. to 1418.0 sq. ft., these flats combine the finest design and amenities in Delhi West to provide a living experience unlike any other. It is a ready to move project and is unique in its perfect harmony of classic form and modern construction. T..."
4,4 BHK Independent Builder Floor in Punjabi Bagh,₹ 4.4  - 15 Cr,"2,520-9,900 sq.ft. (234-920 sq.m.) Super built-up Area",4 BHK4 Baths,"Padam luxurious homes is situated in one of the premier location in punjabi bagh, delhi west. All the floors are brand new , airy and well ventilated. It is location allows easy access to all public transport mediums, that makes extremely easy to commute and be well connected to other parts of the city."
5,3 BHK Independent Builder Floor in Punjabi Bagh,₹ 2.75 Cr,"1,800 sq.ft. (167 sq.m.) Super built-up Area",3 BHK3 Baths,"Padam luxurious homes is situated in one of the premier location in punjabi bagh, delhi west. All the floors are brand new , airy and well ventilated. It is location allows easy access to all public transport mediums, that makes extremely easy to commute and be well connected to other parts of the city."
6,3 BHK Independent Builder Floor in Uttam Nagar,"₹ 34  - 52.57 Lac₹ 4,914/sq.ft.","700-1,000 sq.ft. (65-93 sq.m.) Super built-up Area",3 BHK,"Shree radhe krishana homes in uttam nagar, delhi west by shree radhe krishana associates is a residential project. The project offers floor with perfect combination of contemporary architecture and features to provide comfortable living. The floor are of the following configurations: 1bhk, 2bhk and 3bhk The size of the floor is from 37.16 sq. Mt to 92.9 sq. Mt Shree radhe krishana homes price r..."
7,2 BHK Independent Builder Floor in Uttam Nagar,"₹ 22  - 32.6 Lac₹ 4,476/sq.ft.",500-650 sq.ft. (46-60 sq.m.) Super built-up Area,2 BHK2 Baths,"Shree radhe krishana homes in uttam nagar, delhi west by shree radhe krishana associates is a residential project. The project offers floor with perfect combination of contemporary architecture and features to provide comfortable living. The floor are of the following configurations: 1bhk, 2bhk and 3bhk The size of the floor is from 37.16 sq. Mt to 92.9 sq. Mt Shree radhe krishana homes price r..."
8,3 BHK Independent Builder Floor in Uttam Nagar West,"₹ 34  - 54.4 Lac₹ 4,533/sq.ft.","750-1,200 sq.ft. (70-111 sq.m.) Super built-up Area",3 BHK,"Srk divine homes in uttam nagar west, delhi west by shree radhe krishana associates is a residential project. The project offers floor with perfect combination of contemporary architecture and features to provide comfortable living. The floor are of the following configurations: 1bhk, 2bhk and 3bhk The size of the floor is from 37.16 sq. Mt to 111.48 sq. Mt Srk divine homes price ranges from 15..."
9,2 BHK Independent Builder Floor in Uttam Nagar West,"₹ 22  - 32 Lac₹ 4,333/sq.ft.",500-750 sq.ft. (46-70 sq.m.) Super built-up Area,2 BHK,"Srk divine homes in uttam nagar west, delhi west by shree radhe krishana associates is a residential project. The project offers floor with perfect combination of contemporary architecture and features to provide comfortable living. The floor are of the following configurations: 1bhk, 2bhk and 3bhk The size of the floor is from 37.16 sq. Mt to 111.48 sq. Mt Srk divine homes price ranges from 15..."
10,4 BHK Independent Builder Floor in Mohan Garden,"₹ 62 Lac₹ 6,896/sq.ft.",899 sq.ft. (84 sq.m.) Carpet Area,4 BHK3 Baths,"The builder floor of your dream is available for sale! Get ready to buy this beautiful freehold, fully furnished independent builder floor, with carpet area of 99.9 sq. Yards at mohan garden, delhi west. The property can be given as furnished, unfurnished, or semi furnished. This property is located on 1st floor, which comprises of 4 bedrooms, 3 bathrooms, 2 beds, 4 wardrobes, modular kitchen, ..."
