,0,1,2,3
0,Profit & Loss account of Gujarat Fluorochemicals Limited (in Rs. Cr.),Mar 20,Mar 19,
1,,12 mths,12 mths,
2,INCOME,,,
3,Revenue From Operations [Gross],2471.77,2723.84,
4,Less: Excise/Sevice Tax/Other Levies,0.00,0.00,
5,Revenue From Operations [Net],2471.77,2723.84,
6,Total Operating Revenues,2496.39,2730.55,
7,Other Income,221.27,83.86,
8,Total Revenue,2717.66,2814.41,
9,EXPENSES,,,
10,Cost Of Materials Consumed,1423.21,1434.73,
11,Operating And Direct Expenses,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-74.71,-117.48,
13,Employee Benefit Expenses,186.61,165.12,
14,Finance Costs,101.38,55.71,
15,Depreciation And Amortisation Expenses,176.07,161.62,
16,Other Expenses,555.46,463.50,
17,Total Expenses,2368.60,2163.79,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",349.07,650.62,
19,Exceptional Items,-26.04,-8.24,
20,Profit/Loss Before Tax,323.02,642.38,
21,Tax Expenses-Continued Operations,,,
22,Current Tax,139.22,208.38,
23,Less: MAT Credit Entitlement,0.00,0.00,
24,Deferred Tax,5.07,16.34,
25,Tax For Earlier Years,-11.22,-828.52,
26,Total Tax Expenses,133.08,-603.80,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,189.95,1246.18,
28,Profit/Loss From Continuing Operations,189.95,1246.18,
29,Profit/Loss For The Period,189.95,1246.18,
30,OTHER ADDITIONAL INFORMATION,,,
31,EARNINGS PER SHARE,,,
32,Basic EPS (Rs.),17.29,113.44,
33,Diluted EPS (Rs.),17.29,113.44,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,
35,Imported Raw Materials,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,
38,Imported Stores And Spares,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,
41,Equity Share Dividend,0.00,0.00,
42,Tax On Dividend,0.00,0.00,
43,Equity Dividend Rate (%),0.00,0.00,
