,0,1,2,3,4,5
0,Profit & Loss account of Adani Total Gas (in Rs. Cr.),Mar 21,Mar 20,Mar 19,Mar 18,
1,,12 mths,12 mths,12 mths,12 mths,
2,INCOME,,,,,
3,Revenue From Operations [Gross],1784.47,1977.94,1813.90,1451.34,
4,Less: Excise/Sevice Tax/Other Levies,88.87,116.35,104.53,83.99,
5,Revenue From Operations [Net],1695.60,1861.59,1709.37,1367.35,
6,Total Operating Revenues,1695.60,1874.55,1718.96,1373.66,
7,Other Income,44.36,44.39,86.68,80.06,
8,Total Revenue,1739.96,1918.94,1805.64,1453.72,
9,EXPENSES,,,,,
10,Cost Of Materials Consumed,0.00,0.00,0.00,0.00,
11,Operating And Direct Expenses,0.00,0.00,0.00,0.00,
12,"Changes In Inventories Of FG,WIP And Stock-In Trade",-1.08,0.34,5.44,0.64,
13,Employee Benefit Expenses,51.52,47.46,42.00,38.90,
14,Finance Costs,40.48,41.05,89.85,125.33,
15,Depreciation And Amortisation Expenses,62.52,50.70,67.31,61.01,
16,Other Expenses,940.84,172.36,129.67,96.47,
17,Total Expenses,1094.28,1371.54,1421.48,1194.75,
18,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",645.68,547.40,384.16,258.97,
19,Exceptional Items,-14.47,0.00,-27.64,0.00,
20,Profit/Loss Before Tax,631.21,547.40,356.52,258.97,
21,Tax Expenses-Continued Operations,,,,,
22,Current Tax,159.26,122.54,123.66,82.82,
23,Less: MAT Credit Entitlement,0.00,0.00,0.00,0.00,
24,Deferred Tax,0.00,-11.38,2.75,11.12,
25,Tax For Earlier Years,0.00,0.00,1.40,0.45,
26,Total Tax Expenses,159.26,111.16,127.81,94.39,
27,Profit/Loss After Tax And Before ExtraOrdinary Items,471.95,436.24,228.71,164.58,
28,Profit/Loss From Continuing Operations,471.95,436.24,228.71,164.58,
29,Profit/Loss For The Period,471.95,436.24,228.71,164.58,
30,OTHER ADDITIONAL INFORMATION,,,,,
31,EARNINGS PER SHARE,,,,,
32,Basic EPS (Rs.),4.20,3.97,2.08,1.50,
33,Diluted EPS (Rs.),4.20,3.97,2.08,1.50,
34,"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",,,,,
35,Imported Raw Materials,0.00,0.00,0.00,0.00,
36,Indigenous Raw Materials,0.00,0.00,0.00,0.00,
37,"STORES, SPARES AND LOOSE TOOLS",,,,,
38,Imported Stores And Spares,0.00,0.00,0.00,0.00,
39,Indigenous Stores And Spares,0.00,0.00,0.00,0.00,
40,DIVIDEND AND DIVIDEND PERCENTAGE,,,,,
41,Equity Share Dividend,0.00,54.99,0.00,0.00,
42,Tax On Dividend,0.00,11.30,0.00,0.00,
43,Equity Dividend Rate (%),25.00,25.00,25.00,0.00,
