,title,url,co,sal,head,descp
0,"
Full Stack Developer",/pagead/clk?mo=r&ad=-6NYlbfkN0DEMI6QzMzxi0DD_pMYXICmFoJq-H5LrGXX8bv2zgXFdh81UvGGEuEv4zlSpy44IU0RUmbyGkoSc_21HfK6-I6jqT-M4756SwmqcgmoikO4746F8BkCjEsEwsTMZUHc13sBLqr7WzvaGJ1U0F4SuQ8LwnJyLj2ts4A9L-OEEPL15ytRP6k8oLHADAOkNz5tsubA35fVnkwyY8kFUsrqKQtQo4-zr4fkQv0GuEiLTXtG8YspM97fyd6g6BR-x7MDtqPjs-c9eRQ_q-9XJD3oB07sAPMT7wHU2bFRpJjj-3OT4TjYvtLl_aoVNuJ65sSNVnSRHVUs4QaA5rFCTwcqyOVpjaCS3DDmDmklw60LenrtK3-ikIzW39XXbBkIe5WsGiOQpqddniBmqtMoiE7wVluH6GXeWT_vjMY9D4sqT7U9OsfgZjfE32z9x1XkQF7wcUPjlQxaS8bQPFvLWk16dg6DAIam3YjzjB20CxhUJdYhy80nraLIJ4I-cpJEhsZrsik=&p=0&fvj=0&vjs=3,new,N.A,Pinkerton595 reviews,"The Full-Stack Developer will be responsible for application design and development of enterprise applications and products with full .NET stack and Angular for the front end.
Essential Functions:
Represent Pinkerton's core values of integrity, vigilance, and excellence.
Develop reports and dashboards using Power BI.
Connecting to multiple data sources and building datasets in Power BI.
Analyzing data, generating insights and visualizing data in support of business initiatives.
Setting up workspaces, reports, dashboards, and scheduled refreshes in Power BI.
Experience in SQL queries, SQL Server Reporting Services (SSRS) and SQL Server Integration Services (SSIS).
Work on building and enhancing back-end application services built-in .net stack as needed.
All other duties, as assigned.
Education, Experience, and Certifications:
Bachelor's degree in Information Technology or similar field with a minimum of three years of strong experience with .Net stack and Angular in developing large Enterprise web applications/products.
Competencies:
Strong hands-on experience in developer role on .Net Framework for design & development of web applications.
Experienced with Angular, JSON, HTML, CSS for Front end development.
Expert in developing Microservices, Restful API, and API based application integrations.
Expert in database / SQL queries and optimization.
Strong experience with unit testing tools for .Net development.
Hands-on experience with Azure Cloud for development and deployment.
Knowledge and experience of working in the Agile - Scrum framework.
Strong in handling non-functional requirements for Applications.
Experience in writing automation cases with Selenium web drivers is a plus.
Serve as an effective and positive team member.
Computer skills; Microsoft Office.
Working Conditions:
With or without reasonable accommodation, requires the physical and mental capacity to perform effectively all essential functions. In addition to other demands, the demands of the job include:
Exposure to sensitive and confidential information.
Regular computer usage.
Must be able to see, hear, speak, and write clearly in order to communicate with employees and/or customers.
Occasional reaching and lifting of small objects and operating office equipment.
Ability to adjust focus between close and distance vision.
On-call availability, and capability of handling irregular working hours (occasional).
Pinkerton is an equal opportunity employer and provides equal opportunity to all applicants for all positions without regard to race/ethnicity, color, national origin, ancestry, sex/gender, gender identity/expression, sexual orientation, marital/prenatal status, pregnancy/childbirth or related conditions, religion, creed, age, disability, genetic information, veteran status or any protected status by local, state, federal or country-specific law."
1,"

",/cmp/Blackrock-Inc.,"

BlackRock",N.A,N.A,N.A
2,"
Full Stack Developer",/company/Notation-Software-Labs/jobs/Full-Stack-Developer-f4a4a69e69c1f323?fccid=62d8c25aeaf7cc88&vjs=3,new,"


₹3,00,000 - ₹5,00,000 a year

",CommerceUp,"Notation Software Labs is providing mobile first e-commerce platform solution “CommerceUp” to help businesses grow without thinking about technology team. We have ambitious plans to take the platform to a global business audience.The role would involve working closely with the Founder in developing the platform. As the platform is in its early stages of design and development, the learning opportunity would be immense and unparalleled. The developer will also be part of design discussions and will have a strong say in how the platform is designed and built.You need to have strong skills in html designing for web and mobile platforms. You will also be developing admin dashboards and as well as consumer facing applications.Responsibilities:1. Develop new user facing features & creating complex, enterprise-transforming applications on diverse, high energy teams - Using the latest tools and techniques2. Participate actively in all phases of the product development lifecycle.3. Help build technical execution plans and ensure we hit all milestones.4. Manage all aspects of code including version management, code quality, and unit testing.Required background:1. Bachelor's degree in Computer Science or Information Technology from reputed institute.2. Total experience of 2+ years.3. Proficiency with JavaScript and HTML5 and writing cross-browser compatible code.4. Deep knowledge of Angular 5+ and Node JS practices and commonly used modules based on extensive work experience5. Thorough understanding of the responsibilities of the platform, database, API, caching layer, proxies, and otherweb services used in the system6. Creating configuration, build, and test scripts for Continuous Integration environments7. Basic understanding of server-side CSS pre-processing platforms, such as LESS and SASS8. Proficient understanding of client-side scripting and JavaScript frameworks, including jQuery9. Experience across the whole product life-cycle, preferably in small team size, which is currently in production.10. Experience in Mobile Web, PWA, AMP pages development would be a plus.Advantages & Benefits :You will be able to work on challenging and new updated technology stack at all times.Flexible work hoursYou will be able to have diverse responsibilities to learn more in less time.Job Type: Full-timeSalary: ₹300,000.00 - ₹500,000.00 per yearBenefits:Flexible scheduleWork from homeSchedule:Day shiftMonday to FridaySupplemental Pay:Performance bonusApplication Question(s):Why do you want to switch to a new job?Education:Bachelor's (Preferred)Experience:Angular: 1 year (Required)Node.js: 1 year (Required)Work Remotely:Yes"
3,"
Full Stack Developer",/rc/clk?jk=9082a7f1e55f90d0&fccid=a05a20ae16cd591c&vjs=3,new,N.A,INOVAMAX,"Roles and Responsibilities
You should be able to work as an independent team member, capable of applying judgment to plan and execute your tasks.
You should be able to respond to technical queries/requests from team members.
You should have good experience in the application of standard software development principles.
Build efficient, performing, and reusable front-end systems.
Collaborate with Experience Designers to translate designs and wireframes into high-quality code.
Front-end development using various JavaScript libraries and micro frameworks (React.js/ Next.JS, Bootstrap), HTML and CSS.
Integration with backend services using REST / GraphQL APIs
What would you get?
Work at core of unique products and shape future user experience in online gaming.
Challenging projects.
A competitive salary package reflecting skills and experience.
A chance to work for an amazing multicultural and multinational team.
Pleasant work conditions.
Opportunity for professional growth.
EXPERIENCE: 4+ YEARS
JOB LOCATION: Gurugram"
4,"
Full Stack Engineer",/rc/clk?jk=df891518473ef6e7&fccid=f03039b0ced87a63&vjs=3,new,N.A,SHL,"Vacancy Name Full Stack Engineer

Requisition No VN408

Time Type Full Time

Location Gurgaon Office

Additional Location

Country India

Job Description
About Team
Would you like to work with the team that created 2019 world HR best product? Recognized for its world-class design driven by AI, while meeting the highest psychometric standards on any device.
https://www.shl.com/en/assessments/cognitive-ability/shl-verify-interactive/

Role Overview
The Full Stack Engineer (Node JS) is responsible for managing the interchange of data between the server and the users. Work as part of a team developing applications and services using Agile development methods. Build customer-facing UI and back-end services. Code, test and operate node.js based services. Effectively use tools and ingenuity to identify and fix defects before they become a problem.

A Full Stack Engineer must have experience in analyzing customer needs and developing overall concept and design objectives. The developer must be able to create software in a variety of programming and for a variety of IT software applications. Must have experience in debugging and correcting errors in computer programs.

Job Responsibilities
Develop Microservice utilizing Node.js
Thorough understanding of OO concepts & its application in development.
Strong understanding of microservice architecture
Ability to design, develop and implement scalable, elastic microservice based platforms
Demonstrate knowledge of token-based authentication
Design, code, test, debug, document and maintain programs of high complexity
Design and implementation of low-latency, high-availability, and performant applications
Implement automated testing platforms and unit tests
Implementation of security and data protection
Setup and delivery of application development environments for continuous deployments
Desired Skills and Experience
Developer with strong analytical and technical ability with 5 to 8 years of hands on experience in building and using RESTful / GraphQL Web Services using NodeJS
Extensive knowledge of JavaScript, NodeJS libraries, and frameworks (express, nest, etc.)
Exceptional analytical and problem-solving aptitude
Exposure to cloud technology stacks like AWS, Azure, Google cloud, etc.
Hands on with Typescript and functional programming
Create logical data structures, Coding, and Apply best practices/ design patterns of coding
Product / application development, and knowledge of SDLC of multiple products/applications
Responsible for and produces complete, quality deliverables
Exposure with SQL as well as No SQL databases (mongo)
Proficiency with GraphQL and Apollo Frameworks

Good to Have Skills
Setting up clear line of communication with UI developers for seamless parallel development of UI and Backend,
Demonstrated ability to work effectively in a fast-paced, deadline-driving environment
Experience collaborating with a team of UI developer
Exposure on breaking monolith into Microservices
Skills at front-end engineering using Object-Oriented JavaScript, and has knowledge of at least one of the following JavaScript Frameworks (ReactJS, Angular etc.), along with HTML5 and CSS3
Knowledge of various authentication mechanism.
Adherence and compliance to Project/organization processes and standards
Willing to work in agile work environment through test driven development, continuous integration


About Us
SHL helps companies optimize performance and productivity through deep people insights. Our market-leading people analytics and technology equip leaders and their teams to make confident, data-driven talent decisions that lead to stronger business outcomes.

We anticipate, and help organizations solve, their most pressing talent challenges. Our science and technology maximize the potential of people through data driven insights, an unmatched portfolio of products, engaging experiences built on science and global expert services. From Talent Acquisition through Talent Management we create diverse, agile, and innovative workforces across the globe. We need highly motivated people to join our dynamic global team. We’re driven by Strong Connections, Curiosity, Fearless Innovation, and Impact.


What SHL can offer you
A culture comprised of diverse, global teams who have a passion for collaboration and client service.
A comprehensive benefits package.
Support, coaching, and on-the-job development to achieve career success.
The ability to engage, influence, and impact a broad array of the world’s leading executives.

Our mission is to maximize people’s potential.

At SHL, we love what we do and the good it creates for our customers and our people, it’s our obsession. Our culture is inclusive; we embrace diverse perspectives and collaboration to drive forward innovation and growth.
We build strong relationships based on honest conversations, ongoing feedback and a healthy dose of fun.

We challenge, inspire and develop each other, which empowers us to own our destiny and our careers.
We support each other – always. If this is important to you, consider a career at SHL.

SHL is an equal opportunity employer."
5,"
Full Stack Engineer",/rc/clk?jk=2045b5f50425b670&fccid=42a8d05b78ce8614&vjs=3,new,N.A,SHL Global,"About Team
Would you like to work with the team that created 2019 world HR best product? Recognized for its world-class design driven by AI, while meeting the highest psychometric standards on any device.
https://www.shl.com/en/assessments/cognitive-ability/shl-verify-interactive/

Role Overview
The Full Stack Engineer (Node JS) is responsible for managing the interchange of data between the server and the users. Work as part of a team developing applications and services using Agile development methods. Build customer-facing UI and back-end services. Code, test and operate node.js based services. Effectively use tools and ingenuity to identify and fix defects before they become a problem.

A Full Stack Engineer must have experience in analyzing customer needs and developing overall concept and design objectives. The developer must be able to create software in a variety of programming and for a variety of IT software applications. Must have experience in debugging and correcting errors in computer programs.

Job Responsibilities
Develop Microservice utilizing Node.js
Thorough understanding of OO concepts & its application in development.
Strong understanding of microservice architecture
Ability to design, develop and implement scalable, elastic microservice based platforms
Demonstrate knowledge of token-based authentication
Design, code, test, debug, document and maintain programs of high complexity
Design and implementation of low-latency, high-availability, and performant applications
Implement automated testing platforms and unit tests
Implementation of security and data protection
Setup and delivery of application development environments for continuous deployments
Desired Skills and Experience
Developer with strong analytical and technical ability with 5 to 8 years of hands on experience in building and using RESTful / GraphQL Web Services using NodeJS
Extensive knowledge of JavaScript, NodeJS libraries, and frameworks (express, nest, etc.)
Exceptional analytical and problem-solving aptitude
Exposure to cloud technology stacks like AWS, Azure, Google cloud, etc.
Hands on with Typescript and functional programming
Create logical data structures, Coding, and Apply best practices/ design patterns of coding
Product / application development, and knowledge of SDLC of multiple products/applications
Responsible for and produces complete, quality deliverables
Exposure with SQL as well as No SQL databases (mongo)
Proficiency with GraphQL and Apollo Frameworks

Good to Have Skills
Setting up clear line of communication with UI developers for seamless parallel development of UI and Backend,
Demonstrated ability to work effectively in a fast-paced, deadline-driving environment
Experience collaborating with a team of UI developer
Exposure on breaking monolith into Microservices
Skills at front-end engineering using Object-Oriented JavaScript, and has knowledge of at least one of the following JavaScript Frameworks (ReactJS, Angular etc.), along with HTML5 and CSS3
Knowledge of various authentication mechanism.
Adherence and compliance to Project/organization processes and standards
Willing to work in agile work environment through test driven development, continuous integration
#fullstackengineer #gurgaonjobs #indiajobs #developer #fullstack #java


About Us
SHL helps companies optimize performance and productivity through deep people insights. Our market-leading people analytics and technology equip leaders and their teams to make confident, data-driven talent decisions that lead to stronger business outcomes.

We anticipate, and help organizations solve, their most pressing talent challenges. Our science and technology maximize the potential of people through data driven insights, an unmatched portfolio of products, engaging experiences built on science and global expert services. From Talent Acquisition through Talent Management we create diverse, agile, and innovative workforces across the globe. We need highly motivated people to join our dynamic global team. We’re driven by Strong Connections, Curiosity, Fearless Innovation, and Impact.


More at shl.com.


What SHL can offer you
A culture comprised of diverse, global teams who have a passion for collaboration and client service.
A comprehensive benefits package.
Support, coaching, and on-the-job development to achieve career success.
The ability to engage, influence, and impact a broad array of the world’s leading executives.

Our mission is to maximize people’s potential.

At SHL, we love what we do and the good it creates for our customers and our people, it’s our obsession. Our culture is inclusive; we embrace diverse perspectives and collaboration to drive forward innovation and growth.
We build strong relationships based on honest conversations, ongoing feedback and a healthy dose of fun.

We challenge, inspire and develop each other, which empowers us to own our destiny and our careers.
We support each other – always. If this is important to you, consider a career at SHL.

SHL is an equal opportunity employer."
6,"
Full Stack Developer",/rc/clk?jk=37a61b3ea200187e&fccid=e20427e9344874e8&vjs=3,"

BigStep Technologies",N.A,BigStep Technologies8 reviews,"Work Experience: 3-6 Years
Location:Gurugram, India (Permanent Remote Working Available)
Full Stack Developer
Desired candidate must have 2 to 4 years of total experience in Web Applications Development with good expertise in MEAN/MERN Stack (MongoDB, ExpressJS, AngularJS/React, Node.js), strong development and coding skills, good analytical and problem solving skills.

**Responsibilities**

Coding and Development. The desired candidate will be responsible for developing next generation web applications & software products
Analyzing requirements, problems and solving them with the best solution
Producing high quality code without much supervision and on-time delivery
Working in cross-functional team, collaborating with peers during entire SDLC
Defining code architecture decisions to support a high-performance and scalable product

**Technical Skills**

In depth knowledge of MongoDB, AngularJS/React, Node.js and good work experience in MEAN/MERN Stack.
Should have good experience in back-end development with Node.js
Experience implementing front-end of applications using HTML5, Angular and / or React, LESS / SASS.
Good knowledge of OOPS concepts, Web Development Concepts, HTML, JSON, REST API development.
Strong coding skills, good analytical and problem solving skill

**Non-Technical Skills**

Must have good oral and written communication skills
Must be dedicated to deliver high quality work and adhering to timelines
Must be a good team player, good learner and a self starter
Must have an ability to work independently
Must be creative enough to bring fresh ideas"
7,"
Full Stack Development Internship",/rc/clk?jk=d524317ed717b19e&fccid=0a5b102b69ab6408&vjs=3,"
Parkzap Labs","


₹5,000 - ₹10,000 a month

",Parkzap Labs,"About the company:
Parkzap is a funded startup rethinking the way people pay for their parking tickets. We provide technology solutions to enable the electronic ticket collection of parking and highway toll fares using smartphones and image recognition.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Work on using Docker Containers and Kubernetes & quickly orchestrate your war efforts on AWS to handle heavy loads of data 2. Support mobile ninjas (Android developers) and hardware ninjas (IoT developers) to deliver lightning-fast blows (replies) to incoming requests from browsers, mobile apps, and IoT-edge-AI hardware 3. Write intelligent scripts to ingest terabytes of data in seconds/minutes 4. Work on coding in Python( backend) and ReactJS (frontend) 5. Work on the entire lifecycle of a project, including strategy, vision, design, coding, architecture, deployment, optimization, etc. and deliver clean, testable, and well-designed code for the same 6. Server spinning and other DevOps operations and deal with Docker Containers in an AWS environment
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 17th May'21 and 21st Jun'21
are available for duration of 6 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Other requirements:
Experience with Linux, Git, Python, competitive programming for writing fast/optimized C, C++, PostgreSQL, Web Socket, and HTTP, Django, or any other similar web application frameworks (Node.js, Ruby on Rails, Spring) Basic experience of HTML, JavaScript, ReactJS, and similar web tools and network programming
Number of internships/jobs available: 2
Categories: Full Stack Development,Web Development,Computer Science,Engineering,Javascript Development,Python/Django"
8,"
Python Developer",/company/Speqto-Technologies/jobs/Python-Developer-b1f457ee4c75dcd3?fccid=cf2e67c0ece4ef9f&vjs=3,new,"


₹2,00,000 - ₹4,00,000 a year

",Speqto Technologies,"Role- Python DeveloperWork Experience : 1-2 yearsWork Location : GurgaonNotice Period: Immediate JoinerMust Have Skills : Python Programming LanguageJob Requirements :Expert in Python, with knowledge of at least one Python web framework ,such as Django, Flask, etc. depending on your technology stackFamiliarity with some ORM (Object Relational Mapper) librariesGood to have BlockChain library and BlockChain concept.Knowledge of API development, good understanding of API standards.Able to integrate multiple data sources and databases into one systemUnderstanding of the threading limitations of Python, and multi-process architectureCode, test and debug programs according to Python best practicesCommunicate with a team in order to coordinate and document application development and testingFamiliarity with Linux EnvironmentUnderstanding about cloud & DevOps system.whatsapp- 9084341204Job Type: Full-timeSalary: ₹200,000.00 - ₹400,000.00 per yearBenefits:Health insuranceSchedule:Day shiftEducation:Bachelor's (Preferred)Experience:Python: 1 year (Preferred)Work Remotely:Temporarily due to COVID-19"
9,"
Full Stack Developer",/rc/clk?jk=21ede0ce759e1828&fccid=919965a999762ed5&vjs=3,"
METADESIGN SOLUTIONS",N.A,METADESIGN SOLUTIONS,"Hands-on with Node js,AngularJS, EmberJS, React JS JavaScript Development Framework
JavaScript developer with at least 2 Yrs of hands-on experience.
Understanding of HTML5 Features and its development. Hands-on BackBoneJS, Framework 7, KnockoutJS is Plus.
Solid knowledge of javascript and css3, bootstrap. Prior experience working on enterprise web applications is a plus."
